@relation combinationGesture


@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute action {forAll, resursiveForAll, forSome}

@data
251.74,97.75,258.73,101.74,316.67,100.74,369.61,101.74,406.58,106.73,422.56,130.69,426.56,187.58,433.55,330.32,284.70,187.58,284.70,188.58,378.61,185.59,401.58,185.59,287.70,299.38,352.63,304.37,435.55,308.36,forSome
289.70,92.76,292.70,95.75,369.61,100.74,469.51,106.73,497.48,115.72,499.48,150.65,482.50,229.50,476.50,325.33,301.69,205.55,306.68,205.55,373.61,202.55,430.55,207.55,452.53,209.54,329.66,312.35,414.57,315.35,forSome
276.71,106.73,286.70,109.73,399.58,109.73,486.49,111.72,497.48,117.71,486.49,190.58,471.51,283.40,470.51,342.30,297.69,214.53,304.68,215.53,424.56,220.52,446.53,222.52,295.69,312.35,322.66,311.35,437.54,310.35,forSome
262.73,112.72,266.72,113.72,404.58,107.73,473.51,118.71,466.51,155.64,460.52,240.48,462.52,322.33,463.52,335.31,298.69,218.52,371.61,216.53,423.56,221.52,427.55,221.52,301.69,318.34,348.64,315.35,421.56,311.35,forSome
269.72,95.75,331.65,101.74,450.53,107.73,517.46,119.71,525.45,143.66,519.46,251.46,520.46,314.35,522.46,360.26,283.70,237.49,281.71,235.49,385.60,228.51,447.53,229.50,466.51,232.50,316.67,351.28,408.57,348.28,forSome
273.71,118.71,277.71,117.71,326.66,111.72,497.48,112.72,498.48,170.61,481.50,309.36,477.50,336.31,302.68,234.50,305.68,234.50,427.55,233.50,456.52,234.50,315.67,332.31,320.67,333.31,428.55,332.31,458.52,331.32,forSome
294.69,105.73,339.65,111.72,483.50,104.74,552.42,109.73,562.41,140.67,547.43,222.52,545.43,295.38,541.44,339.30,328.66,218.52,401.58,214.53,481.50,222.52,509.47,225.51,361.62,315.35,392.59,317.34,500.48,315.35,forSome
263.73,100.74,294.69,104.74,416.57,115.72,520.46,135.68,536.44,169.62,519.46,273.42,509.47,327.32,505.47,360.26,286.70,225.51,419.56,228.51,489.49,234.50,503.48,234.50,321.66,340.30,409.57,334.31,485.49,330.32,forSome
254.73,114.72,258.73,114.72,403.58,102.74,457.52,106.73,475.50,126.70,462.52,237.49,466.51,307.36,469.51,333.31,300.69,186.58,310.68,190.58,382.60,201.56,427.55,204.55,448.53,203.55,306.68,307.36,387.60,305.36,forSome
246.74,123.70,253.74,124.70,391.59,103.74,468.51,140.67,454.53,275.42,451.53,341.30,266.72,225.51,307.68,226.51,377.61,233.50,436.55,229.50,444.54,233.50,288.70,309.36,316.67,314.35,409.57,315.35,463.52,312.35,forSome
238.75,110.72,244.75,111.72,368.62,101.74,458.52,108.73,456.52,188.58,458.52,322.33,459.52,340.30,286.70,228.51,283.70,225.51,369.61,227.51,425.56,226.51,311.68,319.34,313.67,320.34,408.57,323.33,451.53,323.33,forSome
279.71,87.77,279.71,89.76,425.56,95.75,500.48,103.74,494.48,183.59,492.49,258.45,499.48,342.30,501.48,364.26,313.67,218.52,322.66,218.52,413.57,224.51,467.51,224.51,334.65,340.30,370.61,347.29,492.49,342.30,forSome
75.92,73.79,80.92,74.79,165.83,66.81,206.78,76.79,199.79,159.63,193.80,228.51,195.80,261.45,194.80,265.44,104.89,155.64,180.81,161.63,206.78,169.62,100.89,247.47,118.88,248.47,170.82,246.47,236.75,243.48,forSome
340.65,55.83,340.65,56.82,355.63,58.82,408.57,54.83,470.51,57.82,471.51,115.72,468.51,223.52,473.51,250.47,346.64,149.65,346.64,150.65,431.55,145.66,482.50,144.66,350.63,234.50,357.63,235.49,457.52,235.49,forSome
568.41,64.81,568.41,64.81,661.31,49.84,695.28,57.82,689.28,144.66,682.29,250.47,682.29,264.44,598.38,159.63,624.35,156.64,690.28,158.64,701.27,158.64,568.41,254.46,593.38,256.45,631.34,255.46,668.30,251.46,forSome
749.22,54.83,750.22,54.83,803.16,52.83,868.10,54.83,893.07,59.82,884.08,110.72,880.08,191.57,872.09,254.46,748.22,145.66,762.21,146.66,833.13,145.66,862.10,147.66,730.24,254.46,765.20,256.45,825.14,257.45,forSome
121.87,315.35,121.87,315.35,173.82,305.36,269.72,300.37,288.70,304.37,290.70,347.29,280.71,407.18,272.72,462.07,272.72,471.06,152.84,354.27,207.78,353.28,296.69,358.27,157.84,437.12,210.78,438.12,277.71,436.12,forSome
363.62,296.38,371.61,295.38,456.52,295.38,516.46,298.38,542.43,314.35,526.45,368.25,514.46,416.16,508.47,442.11,381.60,342.30,398.58,341.30,460.52,345.29,498.48,350.28,379.60,431.13,404.58,432.13,482.50,436.12,forSome
577.40,288.40,601.37,282.41,701.27,278.41,708.26,282.41,709.26,304.37,700.27,368.25,691.28,406.18,685.29,439.12,569.41,345.29,574.40,346.29,664.31,346.29,675.30,346.29,575.40,421.15,586.39,425.14,648.32,433.13,forSome
732.24,291.39,738.23,297.38,829.14,304.37,853.11,305.36,858.11,329.32,848.12,381.22,840.12,414.16,839.13,439.12,837.13,444.11,734.24,346.29,784.18,349.28,825.14,348.28,704.27,418.16,726.24,423.15,800.17,431.13,forSome
74.92,169.62,72.92,171.61,78.92,173.61,145.85,174.61,181.81,171.61,211.78,172.61,211.78,193.57,207.78,272.43,216.77,301.37,92.90,238.49,148.84,238.49,200.79,238.49,120.87,315.35,121.87,315.35,189.80,312.35,forSome
323.66,168.62,325.66,168.62,376.61,164.62,460.52,166.62,469.51,191.57,454.53,265.44,455.53,298.38,342.64,244.48,337.65,241.48,376.61,236.49,453.53,240.48,454.53,241.48,338.65,308.36,382.60,299.38,474.51,299.38,forSome
547.43,157.64,548.43,158.64,609.37,161.63,651.32,163.63,647.33,183.59,647.33,264.44,651.32,301.37,649.32,310.35,553.42,233.50,591.38,234.50,629.34,235.49,536.44,297.38,543.43,298.38,602.37,299.38,652.32,296.38,forSome
705.27,150.65,706.26,151.65,797.17,167.62,865.10,192.57,847.12,246.47,831.13,307.36,831.13,318.34,697.27,234.50,698.27,234.50,778.19,236.49,814.15,238.49,703.27,304.37,712.26,307.36,761.21,308.36,827.14,307.36,forSome
161.83,340.30,160.83,339.30,204.79,335.31,309.68,331.32,314.67,368.25,297.69,420.15,291.70,447.10,289.70,454.09,197.79,381.22,208.78,381.22,289.70,381.22,305.68,378.23,210.78,438.12,222.77,440.11,303.68,439.12,forSome
446.53,331.32,444.54,331.32,487.49,331.32,569.41,335.31,572.40,360.26,557.42,441.11,557.42,447.10,448.53,378.23,456.52,374.24,529.45,376.23,450.53,415.16,450.53,416.16,466.51,424.14,524.45,425.14,548.43,423.15,forSome
638.34,316.34,639.33,317.34,684.29,326.33,739.23,335.31,740.23,348.28,731.24,416.16,731.24,436.12,730.24,438.12,633.34,365.25,635.34,366.25,709.26,372.24,722.25,371.24,637.34,419.15,644.33,422.15,695.28,425.14,forSome
797.17,328.32,796.17,328.32,878.09,322.33,920.04,325.33,916.05,368.25,908.05,420.15,902.06,493.02,902.06,496.01,779.19,388.21,824.14,388.21,879.08,384.22,772.20,482.04,776.19,482.04,835.13,473.05,880.08,466.07,forSome
77.92,66.81,80.92,64.81,116.88,55.83,214.78,45.84,223.77,73.79,212.78,146.66,212.78,160.63,129.86,112.72,130.86,110.72,211.78,107.73,239.75,104.74,144.85,151.65,144.85,151.65,165.83,151.65,239.75,150.65,forSome
316.67,59.82,318.67,59.82,460.52,50.84,454.53,85.77,343.64,108.73,364.62,107.73,433.55,103.74,455.53,102.74,327.66,174.61,366.62,178.60,465.52,171.61,535.44,58.82,588.39,54.83,658.31,55.83,612.36,164.62,forSome
512.47,114.72,514.46,114.72,580.40,107.73,658.31,98.75,525.45,188.58,524.45,189.58,538.44,189.58,570.41,188.58,613.36,184.59,705.27,74.79,709.26,74.79,786.18,68.80,845.12,63.81,822.14,113.72,801.17,177.60,forSome
326.40,52.91,327.39,54.90,335.38,97.86,355.34,181.77,363.33,221.73,365.32,237.71,376.30,227.72,428.21,127.83,442.18,93.86,460.15,62.89,342.37,149.80,342.37,149.80,348.35,148.81,384.29,142.81,411.24,136.82,forAll
66.88,256.69,68.87,257.69,77.86,278.67,106.80,348.60,138.74,420.52,144.73,413.53,161.70,362.58,188.65,294.65,205.62,257.69,232.57,202.75,234.57,201.75,120.78,327.62,126.77,325.62,152.72,322.62,197.63,316.63,forAll
