@relation gesture


@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute action {click, dbclick, drag}

@data
119.78,90.87,124.77,90.87,164.70,101.85,232.57,146.81,272.50,208.74,279.48,250.70,252.53,308.64,205.62,333.61,150.72,331.61,125.77,297.65,143.73,242.71,174.68,190.76,227.58,126.83,288.47,78.88,320.41,52.91,click
101.81,74.88,101.81,74.88,123.77,78.88,202.62,112.84,255.53,155.80,280.48,209.74,283.48,266.68,269.50,311.64,211.61,344.60,155.71,312.63,145.73,246.70,166.69,213.74,221.59,147.81,262.51,107.85,313.42,71.89,click
86.84,68.89,87.84,67.89,115.79,76.88,152.72,103.85,185.66,153.80,194.64,198.75,179.67,222.73,138.74,239.71,109.80,231.72,97.82,216.73,107.80,143.81,125.77,113.84,146.73,88.87,170.68,64.89,194.64,45.91,click
269.50,60.90,270.50,61.90,308.43,75.88,342.37,98.86,368.32,135.82,376.30,182.77,370.31,214.74,346.36,247.70,322.40,257.69,301.44,242.71,302.44,194.76,315.42,163.79,347.36,119.84,377.30,82.87,405.25,55.90,click
329.39,214.74,332.38,216.73,356.34,230.72,397.26,273.68,409.24,296.65,415.23,332.61,401.26,371.57,376.30,388.56,347.36,393.55,330.39,376.57,338.37,330.62,370.31,291.66,388.28,271.68,421.22,240.71,442.18,222.73,click
200.63,231.72,200.63,231.72,213.60,241.71,240.55,269.68,260.52,304.64,266.51,332.61,262.51,364.58,240.55,384.56,222.59,391.55,195.64,381.56,182.66,359.59,193.64,325.62,219.59,293.65,264.51,264.68,320.41,231.72,click
96.82,253.70,96.82,252.70,111.79,268.68,137.74,343.60,135.75,361.58,120.78,387.56,101.81,403.54,83.84,412.53,57.89,413.53,50.91,401.54,56.89,373.57,87.84,329.62,124.77,306.64,164.70,285.66,199.63,266.68,click
75.86,106.85,74.86,106.85,83.84,108.85,134.75,134.82,169.69,184.77,175.67,219.73,152.72,264.68,128.76,274.67,116.78,276.67,86.84,251.70,85.84,227.72,111.79,174.78,134.75,143.81,162.70,114.84,182.66,95.86,click
66.00,58.00,151.10,106.10,162.32,120.48,179.74,144.74,183.26,151.40,185.00,164.90,163.46,193.21,119.75,201.00,109.93,201.00,90.04,182.11,90.00,165.00,103.68,144.32,139.47,113.82,215.83,80.59,238.97,72.76,click
82.00,37.00,101.32,48.00,123.19,63.19,134.11,72.11,157.47,103.93,170.00,128.29,178.50,154.00,174.73,173.81,145.81,200.06,128.67,202.00,94.68,198.92,82.39,187.09,77.00,151.74,112.56,99.63,192.77,61.89,click
58.00,59.00,66.50,62.00,125.50,108.99,151.47,163.94,151.00,186.09,95.16,222.21,60.50,227.00,58.95,227.00,43.76,209.64,45.81,172.39,54.10,153.84,89.01,113.99,149.44,84.93,192.39,74.72,229.91,67.00,click
51.00,62.00,83.09,76.04,108.27,89.00,116.49,98.98,124.00,112.69,136.22,152.45,136.00,168.48,118.80,190.10,78.04,188.51,138.44,114.28,151.05,112.00,234.00,163.50,228.01,184.99,183.00,126.00,221.15,88.92,click
58.00,48.00,77.13,59.13,120.14,91.05,134.10,110.21,140.95,120.95,145.00,139.58,149.00,176.20,138.28,195.72,105.29,208.00,73.60,200.06,71.64,197.64,67.00,169.35,82.52,131.13,103.83,103.71,176.82,62.59,click
118.00,53.00,182.30,123.30,188.43,137.43,190.00,144.03,192.00,151.97,194.00,165.69,180.57,198.57,161.14,214.93,123.09,217.00,94.05,212.52,89.00,193.74,96.24,155.53,134.85,115.56,215.82,79.39,241.21,70.00,click
78.00,55.00,79.02,56.02,100.90,72.95,118.07,88.07,137.40,107.40,154.11,136.44,157.00,157.65,156.00,180.99,151.53,189.42,130.85,203.07,105.54,202.00,90.42,184.84,84.00,154.68,122.13,88.83,170.50,66.00,click
62.00,36.00,69.05,40.02,108.05,62.02,124.00,73.00,135.80,84.21,170.98,128.94,181.00,157.49,168.80,188.81,131.50,207.00,113.96,206.00,88.00,166.22,97.33,130.00,141.48,86.31,204.69,57.15,216.50,52.00,click
61.00,62.00,64.18,62.00,133.94,90.73,172.29,115.29,184.00,125.00,201.64,152.60,216.32,181.96,210.00,215.50,188.64,229.18,117.70,239.00,81.41,206.66,91.29,158.43,122.83,138.07,232.42,88.09,268.47,75.53,click
86.00,46.00,107.93,61.62,135.98,82.49,164.50,107.00,192.09,138.19,199.00,169.19,187.10,212.80,156.29,226.85,98.94,223.47,87.02,205.10,90.00,184.00,116.98,140.02,181.18,108.14,248.57,72.14,267.00,64.50,click
80.00,36.00,81.03,37.03,110.00,57.26,138.21,83.21,153.26,106.52,162.31,135.63,162.00,152.76,140.15,186.48,106.94,197.00,69.70,181.70,65.00,156.16,70.03,137.97,94.52,106.74,163.00,76.71,228.90,68.00,click
51.00,41.00,66.39,44.40,94.40,56.00,115.00,65.51,124.39,73.39,138.11,94.34,146.00,134.92,134.96,170.08,121.00,179.00,85.88,185.00,59.00,169.52,75.72,130.28,129.80,84.14,200.60,49.74,227.00,42.00,click
